"uid","nightuid","namedLocation","domainID","siteID","plotID","collectDate","endDate","samplingProtocolVersion","remarks","dataQF"
"6d24dc4e-7ed7-467a-a245-5803c0a8732e","7f516eed-6637-41d0-8029-7981dcf7bfcb","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","2018-05-17","2018-05-17","NEON.DOC.000481vK",NA,NA
"761261a6-963c-4260-8c4c-c14eba51448b","ca58ba18-06c5-40a6-bb7c-9961bec3ff58","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-05-17","2018-05-17","NEON.DOC.000481vK",NA,NA
"aeab1772-8c4d-40a0-aba7-5bf26f056e71","d0d21f2a-8123-47c4-a58d-59eeb88b7ea7","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-06-12","2018-06-12","NEON.DOC.000481vK",NA,NA
"5ca9bead-3845-4c2a-b78e-2fa92f2ad814","beb9b4f3-db25-4923-aee5-3bb1f8fd2b51","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-06-12","2018-06-12","NEON.DOC.000481vK",NA,NA
"9ff05a4d-1c45-47ca-a382-cb2b56c4c327","eb9d73cd-8328-468b-9cd1-76a94e57150f","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-06-12","2018-06-12","NEON.DOC.000481vK",NA,NA
"c27c06a0-cffd-488f-a7e2-f77e2ae385bc","c9510d7d-62d2-4f9c-8ebf-5b2a7edb216a","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","2018-06-12","2018-06-12","NEON.DOC.000481vK",NA,NA
"e9660282-c7b1-4575-b14a-9bc6d7f801d9","510889b2-8744-49fd-8310-2d41b4b3bb2c","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-06-13","2018-06-13","NEON.DOC.000481vK",NA,NA
"b96d2a70-2d59-4319-b460-77ca4e97e983","db964feb-492d-4952-a3df-a01aa6268ea8","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-06-13","2018-06-13","NEON.DOC.000481vK",NA,NA
"954d01a9-8244-4ba3-81b6-1b3c3ac2ad2c","6959870e-68dd-4ce5-be6a-6912a92ec585","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","2018-06-13","2018-06-13","NEON.DOC.000481vK",NA,NA
"76491031-21bb-46e4-8a5a-24311b5afd6e","ceea86ae-8d8b-4dbe-8551-7dab0d3b1b70","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-06-13","2018-06-13","NEON.DOC.000481vK",NA,NA
